,chrom,sub_region,pi,theta,d,mid,nvar
0,I,left_tip,0.001019039229810143,0.0008925188019487167,0.7115322564930926,263500.0,10922
1,I,left_arm,0.001446680232094088,0.0011882869086521897,1.0924988348843174,2192500.0,105776
2,I,center,0.0003796858199995528,0.00029872027938394175,1.3616010624410337,7449000.0,100391
3,I,right_arm,0.0013347225736183674,0.0010868697060663647,1.1457247365662022,12957500.0,137519
4,I,right_tip,0.0006527174894857782,0.000585469578221951,0.5746527825672693,14973717.0,4125
5,I,full,0.0008841840759880802,0.0007201716048219634,1.1442925581630885,7536217.0,358733
6,II,left_tip,0.00038439379656921046,0.0003581907714805273,0.36590232706122716,153000.0,6979
7,II,left_arm,0.0034864219135014233,0.002782690969326771,1.2706934579296378,2592500.0,220604
8,II,center,0.0006325527523533834,0.0005723668109546736,0.5283034376426263,8449500.0,125323
9,II,right_arm,0.002018220184213374,0.001674107861766839,1.0327200019450085,13314500.0,96274
10,II,right_tip,0.0014390316582983409,0.0012091109018366147,0.954900918819563,14944210.5,14276
11,II,full,0.0017505384924441333,0.0014431733784654396,1.070144678455007,7639710.5,463456
12,III,left_tip,0.0018968501091280493,0.001778825757114269,0.33320035687672883,247000.0,22074
13,III,left_arm,0.002133470447448293,0.0016881486810682003,1.3253768051573112,2108000.0,123304
14,III,center,0.000529520121460475,0.000483944628033758,0.47313354718777634,7031000.0,99842
15,III,right_arm,0.0013697086902142697,0.0011238277127416545,1.0991926067020386,11778500.0,84845
16,III,right_tip,0.00026764346419612536,0.00023453523155986041,0.706648957638105,13500400.5,11174
17,III,full,0.001118268660947463,0.0009353020429677689,0.982922682177485,6891900.5,341239
18,IV,left_tip,0.0011795325829321705,0.001081790610460165,0.45370480385133855,360000.0,14239
19,IV,left_arm,0.001930802095352098,0.0016063644758785723,1.0147534495896315,2308000.0,116008
20,IV,center,0.0009885818200871034,0.0008724875385087489,0.6685598839181938,8433000.0,155074
21,IV,right_arm,0.0017863249116684369,0.0015365527793920356,0.8167230082032658,14841000.0,119420
22,IV,right_tip,0.0012839242938745426,0.0011054798067971785,0.8106165920820851,17102914.5,30041
23,IV,full,0.0013512263004594638,0.0011667082768604085,0.7946614689124912,8746914.5,434782
24,V,left_tip,0.004542478568402081,0.004254564242861485,0.33997308205073734,321500.0,46276
25,V,left_arm,0.0024428540320452544,0.002054607484719094,0.9494559590258503,3270000.0,274450
26,V,center,0.0016047927931318656,0.001353415063912986,0.9332477985242209,11223500.0,333210
27,V,right_arm,0.00404288944837883,0.0031608713209988005,1.4020668025692054,18443500.0,229422
28,V,right_tip,0.004488988550078165,0.003675537418239875,1.1117971485394047,20630590.0,26138
29,V,full,0.002426701069973024,0.0020102189652995536,1.0410321427887705,10462090.0,909497
30,X,left_tip,0.0007031398749043667,0.0006350573130771658,0.5379442453098974,286000.0,10256
31,X,left_arm,0.0009689167576300252,0.0008234297619704612,0.8877000081019087,3354500.0,128587
32,X,center,0.0011917257572944867,0.0010806037195885668,0.5166758661720922,9308500.0,136996
33,X,right_arm,0.0009996772885659515,0.0008328762705055136,1.0061618252321634,14448500.0,111733
34,X,right_tip,0.00036633291020165534,0.00028183395846010463,1.5044531597748136,17067971.0,23781
35,X,full,0.001002662231143108,0.0008717202227797336,0.7547516559726407,8859471.0,411353
